Sensitivity Table,,,,,,,,
,,,,,,,,
Bunga/Tenor,5,10,15,20,25,30,35,40
6%," Rp966,640 "," Rp555,103 "," Rp421,928 "," Rp358,216 "," Rp322,151 "," Rp299,775 "," Rp285,095 "," Rp275,107 "
7%," Rp990,060 "," Rp580,542 "," Rp449,414 "," Rp387,649 "," Rp353,390 "," Rp332,651 "," Rp319,428 "," Rp310,716 "
8%," Rp1,013,820 "," Rp606,638 "," Rp477,826 "," Rp418,220 "," Rp385,908 "," Rp366,882 "," Rp355,130 "," Rp347,656 "
9%," Rp1,037,918 "," Rp633,379 "," Rp507,133 "," Rp449,863 "," Rp419,598 "," Rp402,311 "," Rp391,996 "," Rp385,681 "
10%," Rp1,062,352 "," Rp660,754 "," Rp537,303 "," Rp482,511 "," Rp454,350 "," Rp438,786 "," Rp429,836 "," Rp424,573 "
11%," Rp1,087,121 "," Rp688,750 "," Rp568,298 "," Rp516,094 "," Rp490,057 "," Rp476,162 "," Rp468,479 "," Rp464,147 "
12%," Rp1,112,222 "," Rp717,355 "," Rp600,084 "," Rp550,543 "," Rp526,612 "," Rp514,306 "," Rp507,775 "," Rp504,250 "
